True lang,Predicted lang,0
ace,ita,1
ace,wol,1
afr,zea,1
als,bar,3
als,deu,3
als,ksh,1
als,nds,1
als,pfl,5
amh,chr,3
amh,khm,3
amh,kin,1
amh,pam,1
amh,sin,3
ang,bjn,1
ang,mrj,1
ang,pam,1
ang,pcd,1
ang,rup,1
ang,zh-yue,1
ara,arz,3
arg,mwl,1
arz,ara,15
arz,lrc,1
arz,yor,1
asm,bho,1
asm,eng,1
ast,arg,1
ast,olo,1
ava,lez,10
ava,nci,2
ava,pcd,4
ava,rue,1
ava,rus,5
aym,ast,1
aym,ilo,1
aym,pap,1
aym,que,2
aym,sna,1
aym,spa,4
aym,szl,1
aze,gag,1
aze,hsb,1
bak,kir,1
bak,mhr,1
bar,als,5
bar,bxr,1
bar,deu,1
bar,eng,1
bar,hbs,1
bar,kin,1
bar,nds,1
bar,pdc,2
bar,sna,1
bcl,cbk,2
bcl,eng,2
bcl,pag,1
bcl,tgl,1
bcl,tsn,1
be-tarask,bel,22
be-tarask,rus,1
bel,be-tarask,31
bel,rue,1
bel,rus,2
bel,ukr,1
ben,hif,1
ben,kat,1
ben,koi,1
ben,nld,1
ben,swa,1
bho,ace,1
bho,hin,7
bho,mai,5
bho,new,1
bjn,ind,2
bjn,map-bms,3
bjn,msa,1
bod,sna,1
bos,hbs,22
bos,hrv,41
bos,srp,1
bre,cym,1
bre,hrv,1
bre,oci,1
bre,tet,1
bul,ast,1
bul,dsb,1
bul,epo,1
bul,pdc,1
bul,rus,1
bxr,asm,1
bxr,bel,2
bxr,koi,1
bxr,lin,1
bxr,mon,8
bxr,pcd,1
bxr,rus,2
bxr,sah,1
bxr,swa,1
bxr,tyv,1
bxr,udm,1
cat,lav,1
cat,pdc,1
cbk,eng,1
cbk,ext,1
cbk,ina,2
cbk,lad,4
cbk,mwl,1
cbk,pap,1
cbk,roa-tara,1
cbk,spa,10
cdo,hak,1
cdo,lat,1
cdo,wuu,1
cdo,zh-yue,1
cdo,zho,2
ces,hrv,3
ces,slk,1
ces,swa,1
che,ava,1
chr,hif,1
chr,sin,15
chv,mhr,2
chv,myv,1
chv,rus,1
ckb,chr,1
ckb,glk,1
ckb,snd,1
cor,fao,1
cor,glv,1
cos,lij,3
cos,lmo,1
cos,roa-tara,1
cos,scn,8
cos,sme,1
cos,srd,1
crh,gag,6
crh,kaa,1
csb,dsb,1
cym,gle,1
dan,afr,1
dan,als,1
dan,dsb,1
dan,kab,1
dan,nob,1
dan,roh,1
deu,als,2
deu,bar,1
deu,kom,1
deu,nds,1
deu,roh,1
deu,rus,1
diq,asm,1
diq,hbs,1
diq,kur,5
diq,rup,1
diq,som,1
diq,tet,1
div,amh,1
div,chr,1
div,khm,1
div,lao,5
div,sin,29
div,snd,1
dsb,csb,1
dsb,hsb,10
dsb,hye,1
dsb,koi,1
dsb,nap,1
dsb,szl,4
dsb,tet,1
dty,bho,1
dty,mai,8
dty,nep,13
dty,pam,1
dty,san,1
egl,fur,2
egl,ina,1
egl,ita,1
egl,lij,8
egl,lmo,2
egl,nap,1
egl,roa-tara,1
egl,roh,5
eng,ang,2
eng,asm,2
eng,bcl,1
eng,cbk,1
eng,hif,1
eng,ibo,1
eng,kok,1
eng,lao,1
eng,mar,1
eng,ori,1
eng,pus,1
eng,sco,2
eng,tgl,1
eng,tsn,1
eng,xho,2
eng,yor,1
eng,zh-yue,1
